begin,end,sampledSeconds,nVehEntered,nVehLeft,nVehSeen,meanSpeed,meanTimeLoss
0,45,14.75861401,1,0,1,24.3925344,1
0,45,14.76525605,0,0,1,24.3815616,0.999335032
0,45,42.41862968,0,3,3,26.60904,0.32696327
45,90,9.073119179,0,1,1,39.6776448,0.722418004
135,180,13.41856808,0,1,1,26.828496,0.333603988
225,270,7.549102382,0,1,1,47.6877888,0.964804197
270,315,13.60779716,0,0,1,26.4554208,0.322314768
315,360,19.13846215,0,2,2,38.4432048,0.685063967
405,450,11.67974331,0,1,1,30.8225952,0.454465048
540,585,16.41240568,0,1,1,21.9346272,0.185515985
585,630,42.74736939,0,3,3,26.1116064,0.311910977
630,675,15.94188482,0,1,1,22.5820224,0.205106102
675,720,23.20353123,0,1,2,35.7932736,0.604877302
810,855,8.774645346,0,1,1,41.0272992,0.763258417
0,45,98.91600157,0,6,6,22.238208,0.127858958
45,90,101.1846826,0,6,8,30.9693564,0.365818689
90,135,30.56702926,1,1,2,24.9960384,0.203021188
135,180,150.243187,0,15,15,38.78080128,0.578712713
180,225,56.07331825,0,2,3,19.3633344,0.04950682
225,270,226.2356513,2,13,18,31.1974992,0.372036519
270,315,27.30543461,0,1,2,26.4005568,0.241300095
315,360,129.1946165,0,8,10,29.02415328,0.312803898
360,405,33.55513645,0,1,2,21.7041984,0.113304999
405,450,234.9349437,0,16,17,28.01549478,0.285313802
450,495,128.4661396,0,10,11,33.00219229,0.421221834
495,540,192.0032214,0,12,14,27.64988846,0.275349525
540,585,115.2003687,0,10,10,34.46885664,0.461194474
585,630,118.5392647,0,9,9,28.0574496,0.286457244
630,675,190.9360674,0,14,15,29.94257664,0.337834715
675,720,39.09520673,0,3,3,28.9462464,0.310680615
720,765,237.8742062,0,20,21,34.88566629,0.472554253
765,810,64.9693281,0,3,5,28.69606656,0.303862184
810,855,192.3017729,0,16,16,31.6777878,0.385126361
855,900,54.59938128,0,1,3,19.8388224,0.062465825
900,945,37.62363668,0,3,3,28.840176,0.30778976
945,990,7.078403225,0,1,1,50.858928,0.907891379
990,1035,9.890985514,0,1,1,36.3967776,0.513738256
0,45,162.3527252,2,7,11,24.98207302,0.157738524
45,90,154.9871611,0,13,13,33.04585329,0.363016123
90,135,193.3306748,1,10,13,25.72868382,0.176744805
135,180,276.0900225,1,22,26,37.03573218,0.464585453
180,225,114.4769739,1,7,8,25.4815848,0.170454468
225,270,311.2966594,1,28,29,35.33355112,0.421253464
270,315,141.7962033,1,6,10,26.15257152,0.187535606
315,360,309.8578294,0,21,23,28.46535151,0.246411457
360,405,104.6343179,2,3,7,24.16837577,0.137024441
405,450,336.6437792,2,23,28,32.02686,0.337075871
450,495,176.7718878,0,7,12,24.6595392,0.149527863
495,540,475.9306424,0,27,37,29.1194387,0.263062388
540,585,268.0344521,1,15,20,28.87876368,0.256935585
585,630,276.5761042,3,16,21,28.43574994,0.245657897
630,675,247.9187521,1,17,20,31.99174704,0.336182009
675,720,270.3281608,2,10,18,24.6321072,0.148829534
720,765,287.7752796,6,20,27,36.0582464,0.439701847
765,810,279.2717531,1,11,19,25.02202661,0.158755613
810,855,322.569818,2,24,27,31.7857632,0.330938331
855,900,126.96907,0,4,8,23.0620824,0.108861813
900,945,169.6858248,0,13,13,28.92176862,0.258030351
945,990,15.9512974,0,2,2,45.1420992,0.670947172
990,1035,49.36507937,0,4,4,29.6210736,0.27583238
0,45,285.5417092,2,12,20,25.78169088,0.195144716
45,90,309.3640451,4,19,23,28.74253398,0.272476276
90,135,375.086069,4,18,25,24.24857126,0.155102564
135,180,419.4014689,4,33,37,34.64439178,0.426621514
180,225,473.0843427,3,28,32,24.496776,0.161585197
225,270,491.9287545,11,29,41,32.82365924,0.379067462
270,315,495.5932322,7,20,34,24.77206419,0.168775198
315,360,352.5505593,2,25,29,31.96073942,0.356529647
360,405,504.6728093,3,13,34,24.40608904,0.159216627
405,450,338.7954289,2,25,29,32.3258688,0.366066128
450,495,490.6513012,2,21,37,29.10045872,0.281824585
495,540,567.7045025,10,28,42,28.03890034,0.254098711
540,585,491.2627831,2,23,36,28.1348688,0.256605223
585,630,566.4373393,5,24,40,25.9534152,0.199629827
630,675,550.7420899,8,27,42,30.32098149,0.313702305
675,720,703.9048549,8,18,48,24.968835,0.173914476
720,765,431.0683931,4,30,36,32.418528,0.368486209
765,810,548.4232381,4,15,37,24.52302175,0.162270686
810,855,383.6963491,6,22,29,28.5470635,0.26737096
855,900,608.96633,4,20,42,25.49321074,0.187610167
900,945,241.3429412,2,15,18,29.1553392,0.283257958
945,990,38.50142006,0,4,4,41.4140904,0.603433094
990,1035,47.78020963,0,4,4,31.7004192,0.34973058
0,45,157.9502656,6,4,11,26.15017745,0.200165619
45,90,295.1553244,4,20,24,31.5472572,0.340176962
90,135,230.1229121,5,11,16,25.4562102,0.182162681
135,180,363.9101549,5,27,32,34.7556582,0.423409479
180,225,362.2063197,5,19,24,24.430482,0.155553183
225,270,414.0493824,8,29,38,34.94432539,0.428303894
270,315,294.749637,4,12,19,23.57246198,0.13329438
315,360,383.3725062,3,29,32,32.8247883,0.373318745
360,405,336.3634055,11,9,23,24.81904237,0.165633238
405,450,439.9088594,6,31,37,32.4599149,0.363853179
450,495,418.1342979,12,13,32,30.4436907,0.311548178
495,540,450.3483905,13,20,34,28.39857459,0.258493662
540,585,531.0365972,6,29,40,29.02113576,0.274644179
585,630,461.780689,15,7,33,26.53156538,0.210059605
630,675,468.824865,7,30,39,32.09881625,0.354485537
675,720,334.0056269,8,5,23,25.10194977,0.172972438
720,765,460.6374522,6,32,38,32.97903916,0.377320329
765,810,407.7029765,9,12,29,25.94688828,0.194891879
810,855,387.4200518,5,24,30,29.10132864,0.276724547
855,900,495.9915632,15,13,35,26.11244242,0.199186694
900,945,247.380406,1,17,18,29.4418512,0.285558402
945,990,59.67379216,0,5,5,32.78233728,0.372217478
1035,1080,19.5288089,0,1,1,18.434304,0
0,45,61.12336901,1,4,5,31.13422272,0.3392216
45,90,194.9206537,1,17,19,36.56367966,0.481774838
90,135,129.7859542,3,6,9,25.4191008,0.189168078
135,180,306.0901844,4,24,28,34.70892583,0.433077304
180,225,97.1768011,2,5,7,26.54006811,0.218599662
225,270,376.7387239,10,28,38,37.96300042,0.518514739
270,315,116.0875377,1,7,8,27.1604232,0.23488741
315,360,246.3705155,5,20,25,38.68087565,0.537362929
360,405,48.4905909,1,3,4,30.298644,0.317283043
405,450,379.7546039,6,27,33,34.55068713,0.428922664
450,495,195.5361217,4,9,15,29.0303712,0.283983875
495,540,269.4674982,7,16,24,33.9301836,0.412631019
540,585,246.7166435,4,17,22,34.08251433,0.416630542
585,630,148.6059344,2,10,14,35.08944686,0.443068083
630,675,364.7053647,6,25,32,34.1230077,0.417693716
675,720,99.38021674,3,6,9,34.5362784,0.428544355
720,765,332.9880215,8,22,30,34.88289696,0.437645007
765,810,159.1611857,2,11,13,31.39064862,0.345954196
810,855,270.1203286,6,21,27,37.8415296,0.515325458
855,900,110.6809615,3,4,9,30.44952,0.321244371
900,945,187.1100686,6,9,15,32.54313024,0.376213205
945,990,76.13678155,4,3,7,38.38598949,0.529620538
0,45,168.4021341,3,11,14,31.17842743,0.339903874
45,90,165.2735547,6,10,17,38.17114391,0.523394028
90,135,108.0439127,5,5,10,35.3488752,0.449337183
135,180,329.8491558,8,24,33,37.63204887,0.509248076
180,225,139.3968274,2,9,11,29.75025338,0.302428327
225,270,329.5805914,10,23,33,38.04535767,0.520093374
270,315,83.85831602,1,6,7,32.51083886,0.374866592
315,360,254.3703496,4,22,26,38.32925649,0.527542931
360,405,36.53219396,0,3,4,39.6200376,0.561413262
405,450,356.3474413,9,26,35,38.44586962,0.53060288
450,495,152.5942007,3,4,11,26.98610531,0.229896578
495,540,216.3355494,8,13,23,40.21340369,0.576983296
540,585,198.6296346,7,11,20,38.60340768,0.534736708
585,630,201.978266,7,12,21,39.0924288,0.547568711
630,675,369.5654703,7,26,33,34.87554851,0.436917004
675,720,203.9395811,8,9,18,34.2083136,0.419408639
720,765,291.4061532,8,17,26,34.33684542,0.422781337
765,810,183.9594983,6,11,17,34.56948367,0.428885807
810,855,309.9921986,10,20,30,36.64659168,0.4833895
855,900,59.98279893,1,5,6,37.8945648,0.516136542
900,945,152.6241261,2,12,14,38.35777371,0.528291228
945,990,35.21959523,2,2,4,41.7707064,0.617847203
0,45,181.4351253,8,6,16,34.3318338,0.422474393
45,90,250.3972789,8,18,27,40.6570688,0.588417389
90,135,152.2098901,4,10,14,35.30811909,0.448087308
135,180,368.6923243,16,21,37,38.28202326,0.526107899
180,225,85.65179568,5,3,8,35.1239328,0.443255168
225,270,372.7474897,15,22,38,38.53127596,0.532647061
270,315,49.44703699,2,3,5,37.50722496,0.505781009
315,360,312.9574968,5,29,34,41.08829506,0.599730641
360,405,21.66778755,0,2,2,35.4311712,0.451315589
405,450,333.3722954,12,24,36,41.358312,0.606814555
450,495,188.1235548,8,9,17,34.2680544,0.420801136
495,540,226.0186319,10,14,25,40.61077171,0.587202782
540,585,209.4777863,7,14,22,39.55095884,0.559398515
585,630,196.448578,6,15,21,41.82361097,0.619021707
630,675,460.0150252,12,28,41,35.01902213,0.440502829
675,720,157.4889205,5,9,16,38.9273796,0.543038869
720,765,286.4808649,8,18,27,36.6304576,0.482778954
765,810,132.1964666,3,11,15,41.7551616,0.617225933
810,855,195.5355566,5,16,22,42.33056858,0.632321777
855,900,101.7510425,3,6,10,39.18496608,0.549796668
900,945,92.1310822,2,9,11,44.38098589,0.686114623
